东西不错很好||||2015-10-31 23:45:23||||1
买错了，要的是黑色的||||2015-10-31 20:11:48||||1
老公很喜欢||||2015-10-31 19:04:29||||1
东西不错，就是不能选小一号，至少看别人评论说要小一号，结果手都穿不进去。||||2015-10-31 18:00:38||||1
还不错，赞一个！！||||2015-10-31 17:11:34||||1
衣服不错||||2015-10-31 15:08:56||||1
老公喜欢，应该是正品||||2015-10-31 11:49:54||||1
挺好的||||2015-10-31 08:55:41||||1
很好||||2015-10-30 23:42:38||||1
挺好的||||2015-10-30 20:33:24||||1
还行吧||||2015-10-30 16:27:37||||1
发货很快，质量还好吧||||2015-10-30 15:56:09||||1
很喜欢||||2015-10-30 13:31:17||||1
挺好的，挺喜欢||||2015-10-30 13:31:02||||1
质量不错，纯棉的||||2015-10-30 12:57:55||||1
快递给力，衣服合身。老公很喜欢||||2015-10-29 19:56:21||||1
非常修身，袖口偏小，胳膊肘处偏紧，其他都还不错||||2015-10-29 19:42:38||||1
衣服真的不错，下次还会光顾的||||2015-10-29 19:27:35||||1
还可以，不是今年专柜款||||2015-10-29 16:29:15||||1
衣服不错，穿着美观。大老爷们也是爱美的||||2015-10-29 13:35:49||||1
很满意，质量不错||||2015-10-29 11:19:03||||1
挺好的||||2015-10-29 09:04:31||||1
還是一如既往的好||||2015-10-29 08:54:21||||1
和店里的一样，以后不用去店里买了，下次再来||||2015-10-29 04:31:53||||1
儿子说不错||||2015-10-28 21:53:17||||1
很好 质量不错||||2015-10-28 20:40:49||||1
衣服质量可以的||||2015-10-28 20:29:02||||1
质量很好，样子也好看||||2015-10-28 20:27:35||||1
好评||||2015-10-28 20:27:20||||1
挺好的，上身效果比照片好看，本人比较瘦，难得买一件合适的衣服，要是腰围再小点，就更棒了！好好好，就是好！||||2015-10-28 20:13:49||||1
质量是全棉的，还没试穿款式还行||||2015-10-28 16:26:53||||1
挺好的不错||||2015-10-28 15:33:43||||1
衣服收到穿上再来评价，相当满意，很舒适的衣料，款式也是本人喜欢的，很好，继续支持你||||2015-10-28 13:59:48||||1
很好！||||2015-10-28 12:48:20||||1
宝贝不错很喜欢，穿着舒服款式漂亮，朋友都说好看||||2015-10-28 09:29:13||||1
0k||||2015-10-28 08:12:25||||1
价格大众化，YY质量很好呀,款式、面料我都挺满意的．如果有需要我还会继续光顾你的店铺！||||2015-10-27 20:02:33||||1
挺好的，很好看||||2015-10-27 19:05:43||||1
衣服收到了，质量不错||||2015-10-27 15:28:28||||1
已经收到了 衣服很不错 快递速度很快哦 整体满意||||2015-10-27 15:27:34||||1
不错，老公很喜欢。||||2015-10-27 12:50:03||||1
还可以吧，大小合适||||2015-10-27 11:50:24||||1
